id,order,family,genus,species,habitat_breadth,diet_breadth,body_mass_g,body_size_mm,trophic_level,global_range_size_km2,extinct
Anf2957,Anura,Hylidae,Agalychnis,Agalychnis_callidryas,generalist,,12,77.2,,,0
Anf6106,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa_conanti,specialist,,,116,,,0
Anf6112,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa_diaphora,specialist,,,83,,,0
Anf6115,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa_dofleini,generalist,,,232,,,0
Anf6116,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa_dunni,specialist,,,138,,,0
Anf6148,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa_mexicana,specialist,specialist,,190,carnivore,,0
Anf6157,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa_nympha,specialist,,,70.28,,,0
Anf6181,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa_rufescens,specialist,specialist,,83,carnivore,,0
Anf2169,Anura,Hylidae,Bromeliohyla,Bromeliohyla_bromeliacia,generalist,,,35.7,,,0
Anf1248,Anura,Craugastoridae,Craugastor,Craugastor_chac,specialist,,,39,,,0
Anf1249,Anura,Craugastoridae,Craugastor,Craugastor_charadra,specialist,,,67,,,0
Anf1276,Anura,Craugastoridae,Craugastor,Craugastor_laevissimus,specialist,,,61,,,0
Anf1277,Anura,Craugastoridae,Craugastor,Craugastor_laticeps,specialist,,80,80,,,0
Anf1286,Anura,Craugastoridae,Craugastor,Craugastor_merendonensis,specialist,,,83,,,0
Anf1288,Anura,Craugastoridae,Craugastor,Craugastor_milesi,specialist,,,37.1,,,0
Anf1316,Anura,Craugastoridae,Craugastor,Craugastor_rhodopis,specialist,,,40,,,0
Anf1319,Anura,Craugastoridae,Craugastor,Craugastor_rostralis,specialist,,,59,,,0
Anf6222,Caudata,Plethodontidae,Cryptotriton,Cryptotriton_nasalis,specialist,,,80,,,0
Anf2226,Anura,Hylidae,Dendropsophus,Dendropsophus_microcephalus,generalist,,28,32,,,0
Anf6637,Gymnophiona,Dermophiidae,Dermophis,Dermophis_mexicanus,generalist,,,600,,,0
Anf2277,Anura,Hylidae,Duellmanohyla,Duellmanohyla_soralia,generalist,,,37.7,,,0
Anf3276,Anura,Leptodactylidae,Engystomops,Engystomops_pustulosus,generalist,,,48.2,,,0
Anf6659,Gymnophiona,Dermophiidae,Gymnopis,Gymnopis_multiplicata,generalist,specialist,,480,carnivore,,0
Anf1037,Anura,Centrolenidae,Hyalinobatrachium,Hyalinobatrachium_fleischmanni,generalist,specialist,,32,carnivore,,0
Anf4231,Anura,Microhylidae,Hypopachus,Hypopachus_variolosus,generalist,specialist,,53,carnivore,,0
Anf0611,Anura,Bufonidae,Incilius,Incilius_campbelli,specialist,,,90,,,0
Anf0641,Anura,Bufonidae,Incilius,Incilius_valliceps,specialist,,60,125,,,0
Anf3379,Anura,Brachycephalidae,Leptodactylus,Leptodactylus_fragilis,generalist,,,43,,,0
Anf3405,Anura,Brachycephalidae,Leptodactylus,Leptodactylus_melanonotus,generalist,,,58,,,0
Anf4860,Anura,,Lithobates,Lithobates_berlandieri,specialist,,,120,,,0
Anf4878,Anura,,Lithobates,Lithobates_maculatus,specialist,,113,113,,,0
Anf4902,Anura,,Lithobates,Lithobates_vaillanti,specialist,specialist,125,125,carnivore,,0
Anf2538,Anura,Hylidae,Plectrohyla,Plectrohyla_dasypus,generalist,,,48.3,,,0
Anf2540,Anura,Hylidae,Plectrohyla,Plectrohyla_exquisita,generalist,,,81,,,0
Anf2596,Anura,Hylidae,Ptychohyla,Ptychohyla_hypomykter,generalist,,,44,,,0
Anf0851,Anura,Bufonidae,Rhinella,Rhinella_marina,specialist,specialist,106.25,241,carnivore,,0
Anf5383,Anura,Rhinophrynidae,Rhinophrynus,Rhinophrynus_dorsalis,specialist,specialist,90,89,carnivore,,0
Anf2697,Anura,Hylidae,Scinax,Scinax_staufferi,generalist,,29,32,,,0
Anf2709,Anura,Hylidae,Smilisca,Smilisca_baudinii,generalist,,,90,,,0
Anf2740,Anura,Hylidae,Tlalocohyla,Tlalocohyla_loquax,generalist,,,77,,,0
Anf2754,Anura,Hylidae,Trachycephalus,Trachycephalus_typhonius,generalist,specialist,56.9,105,carnivore,,0
Anf0457,Anura,Bufonidae,Atelopus,Atelopus_chiriquiensis,specialist,,,58,,,1
Anf1234,Anura,Craugastoridae,Craugastor,Craugastor_anciano,generalist,,,50,,,1
Anf1292,Anura,Craugastoridae,Craugastor,Craugastor_myllomyllon,specialist,,,30.1,,,1
Anf1299,Anura,Craugastoridae,Craugastor,Craugastor_omoaensis,specialist,,,30,,,1
Anf2885,Anura,Hylidae,Litoria,Litoria_nyakalensis,generalist,,2.51,30,,,1
Anf4395,Anura,Myobatrachidae,Taudactylus,Taudactylus_acutirostris,specialist,,0.87,30,,,1
Anf6292,Caudata,Plethodontidae,Pseudoeurycea,Pseudoeurycea_exspectata,generalist,,,,,,1
Anf4392,Anura,Myobatrachidae,Rheobatrachus,Rheobatrachus_silus,specialist,specialist,11.62,54,,,1
Anf0632,Anura,Bufonidae,Incilius,Incilius_periglenes,specialist,,,56,,,1
Anf4396,Anura,Myobatrachidae,Taudactylus,Taudactylus_diurnus,specialist,,0.68,30,,,1
Anf2285,Anura,Hylidae,Ecnomiohyla,Ecnomiohyla_rabborum,specialist,,,100,,,1
